"ORIGINAL"	"DBFIELD"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.EmployeeQuantityDescription"	"Requisitos_de_Participacion/Empleados/Descripcion"
"ContractFolderStatus.TenderingTerms.AllowedSubcontractTerms.Rate"	"Subcontratacion_Permitida/Porcentaje"
"ContractFolderStatus.TenderingTerms.AllowedSubcontractTerms.Description"	"Subcontratacion_Permitida/Descripcion"
"ContractFolderStatus.TenderingTerms.AwardingTerms.AwardingCriteria.Description"	"Criterio_de_Adjudicacion/Descripcion"
"ContractFolderStatus.TenderingTerms.AwardingTerms.AwardingCriteria.WeightNumeric"	"Criterio_de_Adjudicacion/Ponderacion"
"ContractFolderStatus.TenderingTerms.AwardingTerms.AwardingCriteria.AwardingCriteriaTypeCode"	"Criterio_de_Adjudicacion/Tipo"
"ContractFolderStatus.TenderingTerms.AwardingTerms.AwardingCriteria.AwardingCriteriaSubTypeCode"	"Criterio_de_Adjudicacion/Subtipo"
"ContractFolderStatus.TenderingTerms.AwardingTerms.AwardingCriteria.Note"	"Criterio_de_Adjudicacion/Nota"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.TendererQualificationRequest.SpecificTendererRequirement.RequirementTypeCode"	"Requisitos_de_Participacion_del_Lote/Condiciones_de_Admision/Codigo"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.TendererQualificationRequest.SpecificTendererRequirement.Description"	"Requisitos_de_Participacion_del_Lote/Condiciones_de_Admision/Descripcion"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.TendererQualificationRequest.TechnicalEvaluationCriteria.EvaluationCriteriaTypeCode"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Tecnica/Codigo"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.TendererQualificationRequest.TechnicalEvaluationCriteria.Description"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Tecnica/Descripcion"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.TendererQualificationRequest.TechnicalEvaluationCriteria.ThresholdQuantity"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_tecnica/Valor_de_Corte"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.TendererQualificationRequest.FinancialEvaluationCriteria.EvaluationCriteriaTypeCode"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Economica_Financiera/Codigo"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.TendererQualificationRequest.FinancialEvaluationCriteria.Description"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Economica_Financiera/Descripcion"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.TendererQualificationRequest.FinancialEvaluationCriteria.ThresholdQuantity"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Economica_Financiera/Valor_de_Corte"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.AwardingTerms.AwardingCriteria.Description"	"Criterio_de_Adjudicacion_del_Lote/Descripcion"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.AwardingTerms.AwardingCriteria.WeightNumeric"	"Criterio_de_Adjudicacion_del_Lote/Ponderacion"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.AwardingTerms.AwardingCriteria.AwardingCriteriaTypeCode"	"Criterio_de_Adjudicacion_del_Lote/Tipo"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.AwardingTerms.AwardingCriteria.AwardingCriteriaSubTypeCode"	"Criterio_de_Adjudicacion_del_Lote/Subtipo"
"ContractFolderStatus.ProcurementProjectLot.TenderingTerms.AwardingTerms.AwardingCriteria.Note"	"Criterio_de_Adjudicacion_del_Lote/Nota"
"ContractFolderStatus.TenderingProcess.EconomicOperatorShortList.LimitationDescription"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Criterios_Objetivos_Seleccion"
"ContractFolderStatus.TenderingProcess.EconomicOperatorShortList.ExpectedQuantity"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Numero_Previsto_de_Operadores"
"ContractFolderStatus.TenderingProcess.EconomicOperatorShortList.MaximumQuantity"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Cantidad_Maxima"
"ContractFolderStatus.TenderingProcess.EconomicOperatorShortList.MinimumQuantity"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Cantidad_Minima"
"ContractFolderStatus.TenderingProcess.PartPresentationCode"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Numero_de_Lotes_a_los_que_se_Debe_Ofertar"
"ContractFolderStatus.TenderingProcess.MaximumLotPresentationQuantity"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Numero_de_Lotes_a_los_que_se_Puede_Ofertar"
"ContractFolderStatus.TenderingProcess.MaximumTendererAwardedLotsQuantity"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Numero_Maximo_de_Lotes_que_se_Puede_Adjudicar_a_un_Licitador"
"ContractFolderStatus.TenderingProcess.LotsCombinationContractingAuthorityRights"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Derecho_de_Adjudicar_Contratos_que_Combinen_Lotes"
"ContractFolderStatus.TenderResult.ResultCode"	"Resultado_del_procedimiento/Resultado"
"ContractFolderStatus.TenderResult.AwardedTenderedProject.ProcurementProjectLotID"	"Resultado_del_procedimiento/Lote"
"ContractFolderStatus.TenderResult.Description"	"Resultado_del_procedimiento/Motivacion"
"ContractFolderStatus.TenderResult.AwardDate"	"Resultado_del_procedimiento/Fecha_del_Acuerdo"
"ContractFolderStatus.TenderResult.ReceivedTenderQuantity"	"Resultado_del_procedimiento/Ofertas_Recibidas"
"ContractFolderStatus.TenderResult.LowerTenderAmount"	"Resultado_del_procedimiento/Precio_de_la_Oferta_Mas_Baja"
